2016,A New Evaluation Function for Clustering: The NK Internal Validation Criterion.,FFCLRP/USP,Renato Tinós; Zhao Liang; Francisco Chicano; Darrell Whitley
2016,Discovering Combos in Fighting Games with Evolutionary Algorithms.,UFMG,Gianlucca L. Zuin; Yuri P. A. Macedo; Luiz Chaimowicz; Gisele L. Pappa
2016,Efficient Hill Climber for Constrained Pseudo-Boolean Optimization Problems.,FFCLRP/USP,Francisco Chicano; Darrell Whitley; Renato Tinós
2016,Grammatical Evolution for the Multi-Objective Integration and Test Order Problem.,UFPR,Thainá Mariani; Giovani Guizzo; Silvia Regina Vergilio; Aurora T. R. Pozo
2016,HMOBEDA: Hybrid Multi-objective Bayesian Estimation of Distribution Algorithm.,UTFPR; UNICENTRO,Marcella S. R. Martins; Myriam Regattieri de Biase da Silva Delgado; Roberto Santana; Ricardo Lüders; Richard Aderbal Gonçalves; Carolina Paula de Almeida
2016,On the Design of Hard mUBQP Instances.,UFPR,Murilo Zangari; Roberto Santana; Alexander Mendiburu; Aurora T. R. Pozo
2017,An embedded system architecture based on genetic algorithms for mission and safety planning with UAV.,ICMC/USP,Jesimar da Silva Arantes; Márcio da Silva Arantes; Claudio Fabiano Motta Toledo; Onofre Trindade Júnior; Brian C. Williams
2017,Building a better heuristic for the traveling salesman problem: combining edge assembly crossover and partition crossover.,FFCLRP/USP,Danilo Sanches; Darrell Whitley; Renato Tinós
2017,Estimating stop conditions of swarm based stochastic metaheuristic algorithms.,UTFPR,Peter Frank Perroni; Daniel Weingaertner; Myriam Regattieri Delgado
2017,How noisy data affects geometric semantic genetic programming.,UFMG,Luis F. Miranda; Luiz Otávio Vilas Boas Oliveira; Joao Francisco B. S. Martins; Gisele L. Pappa
2017,Hybrid metaheuristic for combinatorial optimization based on immune network for optimization and VNS.,CEFET-MG,Rodney O. M. Diana; Sergio R. de Souza; Elizabeth F. Wanner; Moacir F. França Filho
2017,Improving an exact solver for the traveling salesman problem using partition crossover.,FFCLRP/USP,Danilo Sanches; Darrell Whitley; Renato Tinós
2017,Optimizing one million variable NK landscapes by hybridizing deterministic recombination and local search.,FFCLRP/USP,Francisco Chicano; Darrell Whitley; Gabriela Ochoa; Renato Tinós
2017,Real-polarized genetic algorithm for the three-dimensional bin packing problem.,CEFET-MG,André Homem Dornas; Flávio Vinícius Cruzeiro Martins; João Fernando Machry Sarubbi; Elizabeth Fialho Wanner
2013,Robust Optimization for Hybrid MDPs with State-Dependent Noise.,IME/USP,Zahra Zamani; Scott Sanner; Karina Valdivia Delgado; Leliane Nunes de Barros
2015,Batch Reinforcement Learning for Smart Home Energy Management.,Poli/USP,Heider Berlink; Anna H. R. Costa
2015,Multi-Label Structure Learning with Ising Model Selection.,UNICAMP,André Ricardo Gonçalves; Fernando J. Von Zuben; Arindam Banerjee
2015,Optimal Electric Vehicle Charging Station Placement.,UFRGS,Yanhai Xiong; Jiarui Gan; Bo An; Chunyan Miao; Ana L. C. Bazzan
2015,The Complexity of MAP Inference in Bayesian Networks Specified Through Logical Languages.,IME/USP; Poli/USP,Denis Deratani Mauá; Cassio Polpo de Campos; Fábio Gagliardi Cozman
2014,Advances in Learning Bayesian Networks of Bounded Treewidth.,IME/USP,Siqi Nie; Denis Deratani Mauá; Cassio Polpo de Campos; Qiang Ji
