2014,Software engineering at the speed of light: how developers stay current using twitter.,UFRN,Leif Singer; Fernando Marques Figueira Filho; Margaret-Anne D. Storey
2014,Trading robustness for maintainability: an empirical study of evolving c# programs.,PUC-Rio; UFRN,Nélio Cacho; Thiago César; Thomas Filipe; Eliezio Soares; Arthur Cassio; Rafael Souza; Israel García; Eiji Adachi Barbosa; Alessandro Garcia
2016,A comparison of 10 sampling algorithms for configurable systems.,UFAL; UFCG,Flávio Medeiros; Christian Kästner; Márcio Ribeiro; Rohit Gheyi; Sven Apel
2016,Building a theory of job rotation in software engineering from an instrumental case study.,UFPE,Ronnie E. S. Santos; Fabio Q. B. da Silva; Cleyton V. C. de Magalhães; Cleviton V. F. Monteiro
2016,Code anomalies flock together: exploring code anomaly agglomerations for locating design problems.,PUC-Rio; UFMS,Willian Nalepa Oizumi; Alessandro F. Garcia; Leonardo da Silva Sousa; Bruno Barbieri Pontes Cafeo; Yixue Zhao
2016,Overcoming open source project entry barriers with a portal for newcomers.,UTFPR; IME/USP; UFAM,Igor Steinmacher; Tayana Uchôa Conte; Christoph Treude; Marco Aurélio Gerosa
2017,Balancing soundness and efficiency for practical testing of configurable systems.,UFPE; UFCG,Sabrina Souto; Marcelo d'Amorim; Rohit Gheyi
2017,Learning syntactic program transformations from examples.,UFCG,Reudismam Rolim; Gustavo Soares; Loris D'Antoni; Oleksandr Polozov; Sumit Gulwani; Rohit Gheyi; Ryo Suzuki; Björn Hartmann
2014,An Empirical Study of Delays in the Integration of Addressed Issues.,UFRN,Daniel Alencar da Costa; Surafel Lemma Abebe; Shane McIntosh; Uirá Kulesza; Ahmed E. Hassan
2014,How Does Exception Handling Behavior Evolve? An Exploratory Study in Java and C# Applications.,PUC-Rio; UFRN,Nélio Cacho; Eiji Adachi Barbosa; Juliana Araujo; Frederico Pranto; Alessandro F. Garcia; Thiago César; Eliezio Soares; Arthur Cassio; Thomas Filipe; Israel García
2014,Scaling Testing of Refactoring Engines.,UFAL; UFCG,Melina Mongiovi; Gustavo Mendes; Rohit Gheyi; Gustavo Soares; Márcio Ribeiro
