2015,Fast Convention Formation in Dynamic Networks Using Topological Knowledge.,,Mohammad Rashedul Hasan; Anita Raja; Ana L. C. Bazzan
2013,Taxation search in boolean games.,,Vadim Levit; Tal Grinshpoun; Amnon Meisels; Ana L. C. Bazzan
2017,Learning to Minimise Regret in Route Choice.,,Gabriel de Oliveira Ramos; Bruno Castro da Silva; Ana L. C. Bazzan
2013,Language Acquisition and Probabilistic Models: keeping it simple.,,Aline Villavicencio; Marco Idiart; Robert C. Berwick; Igor Malioutov
2015,Towards the User Equilibrium in Traffic Assignment Using GRASP with Path Relinking.,,Gabriel de Oliveira Ramos; Ana Lúcia Cetertich Bazzan
2015,Optimal Electric Vehicle Charging Station Placement.,,Yanhai Xiong; Jiarui Gan; Bo An; Chunyan Miao; Ana L. C. Bazzan
